Site,Square,AU,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation
J,B,1,1,1,1,Chert,Brown,1.83,22.03,Flake,0,,Hertz,,,20.31,2-scars,,Yes,5,2,,2-scars,,Yes,5,2,No,,,,,,,,,,,,Feather,,,,,20.37,3.34,2,448.7511,1.081492391
J,B,1,1,1,2,Chert,Yellow,0.61,14.59,RetF,0,,Hertz,,3,10.97,3-scars,,Yes,5,3,Yes,3-scars,,Yes,5,3,Yes,Both,Percus,Rlat,10.75,3.04,,,,,,3,Feather,,,,,19.11,2.74,1.62,278.8149,0.763474621
J,B,1,1,1,5,Chert,Grey,0.05,7.07,Flake,0,,Hertz,,,6.05,2-scars,,Yes,3,2,,2-scars,,Yes,3,2,No,,,,,,,,1,,,,Feather,,,,,6.56,1.13,1.63,46.3792,1.077743902
J,B,1,1,1,7,Chert,Dk Brown,0.03,5.72,Flake,0,,Hertz,,,2.91,Single,,No,3,1,,Single,,No,3,1,No,,,,,,,,,,,,Feather,,,,,4.28,1.16,0.69,24.4816,1.336448598
J,B,1,1,1,10,Chert,Grey,0.25,14.27,Flake,0,,Hertz,,,3.78,Single,,Yes,5,1,,Single,,Yes,5,1,No,,,,,,,,,,,,Feather,,,,,6.07,3.13,2.01,86.6189,2.350906096
J,B,1,1,1,11,Chert,Brown,0.33,11.23,Flake,0,,Hertz,,,6.31,Single,,Yes,4,1,,Single,,Yes,4,1,No,,,,,,,,,,,,Feather,,,,,10.96,2.65,1.44,123.0808,1.024635036
J,B,1,1,1,14,Chert,Dk Brown,0.15,5.83,RetF,0,,Hertz,,2,2.62,Single,,No,5,1,Yes,Single,,No,5,1,Yes,Both,Percus,Dist,3.1,3.14,,,,,,2,Retouched,,,,,6.4,2.3,1.3,37.312,0.9109375
J,B,1,1,1,17,Chert,Red,0.1,9.7,RetF,0,,,,1,,Focal,,,5,,Yes,Focal,,,5,,Yes,V-D,Percus,Llat,3.97,2.02,,,,,,1,Feather,,,,,4.97,2.44,,48.209,1.951710262
J,B,1,1,1,18,Chert,Lt Brown,0.03,3.58,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,No,,,,,,,,,,,,Feather,,,,,8.37,1.45,,29.9646,0.427718041
J,B,1,1,1,19,Chert,Red,0.02,4.79,Flake,0,,Hertz,Trans,,5.25,Single,,No,5,1,,Single,,No,5,1,No,,,,,,Dist,,,,,,Feather,,,,,4.07,1.03,1.28,19.4953,1.176904177
J,B,1,1,1,20,Chert,Grey,0.01,3.29,Flake,0,,Hertz,,,5.98,Single,,Yes,1,1,,Single,,Yes,1,1,No,,,,,,,,,,,,Hinge,,,,,6.29,1.04,1.07,20.6941,0.523052464
J,B,1,1,1,21,Chert,Brown,0.06,6.02,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,No,,,,,,,,1,,,,Feather,,,,,6.98,1.44,,42.0196,0.862464183
J,B,1,1,1,22,Chert,Pink,0.01,3.51,Flake,0,,Hertz,,,5.62,Single,,Yes,2,1,,Single,,Yes,2,1,No,,,,,,,,,,,,Feather,,,,,5.68,1.01,1.35,19.9368,0.617957746
J,B,1,1,1,23,Chert,Grey,0.11,5.65,Flake,0,,Hertz,,,,Focal,,Yes,2,,,Focal,,Yes,2,,No,,,,,,,,,,,,Hinge,,,,,8.18,1.65,,46.217,0.690709046
J,B,1,1,1,26,Chert,Grey,0.43,9.95,Flake,0,,Hertz,,,6.84,2-scars,,Yes,6,2,,2-scars,,Yes,6,2,No,,,,,,,,,,,,Step,,,,,11.45,2.55,3.11,113.9275,0.868995633
J,B,1,1,1,27,Chert,Cream,0.18,6.96,Flake,0,,Hertz,,,5.86,Single,,No,5,1,,Single,,No,5,1,No,,,,,,,,,,,,Feather,,,,,7.25,3.04,3.08,50.46,0.96
J,B,1,1,1,28,Chert,Grey,0.12,8.3,Flake,0,,Hertz,,,3.33,Single,,No,3,1,,Single,,No,3,1,No,,,,,,,,,,,,Feather,,,,,5.11,3.22,1.87,42.413,1.624266145
J,B,1,1,1,29,Chert,Grey,0.23,11.68,Flake,0,,Hertz,,,4.14,2-scars,,Yes,5,2,,2-scars,,Yes,5,2,No,,,,,,,,,,,,Feather,,,,,6.36,2.18,1.67,74.2848,1.836477987
J,B,1,1,1,30,Chert,Beige,0.08,9,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,No,,,,,,,,,,,,Feather,,,,,5.95,1.52,,53.55,1.512605042
J,B,1,1,1,31,Chert,Grey,0.03,5.56,Flake,0,,Hertz,,,5.85,3-scars,,Yes,2,3,,3-scars,,Yes,2,3,No,,,,,,,,,,,,Feather,,,,,5.63,1.53,1.8,31.3028,0.987566607
