Site,Square,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation,,,,Site,Square,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?
J,B,1,1,1,Chert,Brown,1.83,22.03,Flake,0,,Hertz,,,20.31,2-scars,,Yes,5,2,,2-scars,,Yes,5,2,,,,,,,,,,,,,Feather,,,,,20.37,3.34,2,448.7511,1.081492391,,,,J,B,1,1,1,Chert,Brown,1.83,22.03,Flake,0,,Hertz,,,20.31,2-scars,,Yes,5,2,,2-scars,,Yes,5,2,,,,,,,,,,,,,Feather,,,,
J,B,1,1,2,Chert,Yellow,0.61,14.59,RetF,0,,Hertz,,3,10.97,3-scars,,Yes,5,3,Yes,3-scars,,Yes,5,3,Yes,Both,Percus,Rlat,10.75,3.04,,,,,,3,Feather,,,,,19.11,2.74,1.62,278.8149,0.763474621,,,,J,B,1,1,2,Chert,Yellow,0.61,14.59,RetF,0,,Hertz,,3,10.97,3-scars,,Yes,5,3,Yes,3-scars,,Yes,5,3,Yes,Both,Percus,Rlat,10.75,3.04,,,,,,3,Feather,,,,
J,B,1,1,3,Chert,Dk Grey,3.81,29.59,Core,0,,,,,,,,,10,,,,,,10,,,,,,,,,1,,1,4,,,,,,,11.58,7.25,,342.6522,2.555267703,,,,J,B,1,1,3,Chert,Dk Grey,3.81,29.59,Core,0,,,,,,,,,10,,,,,,10,,,,,,,,,1,,1,4,,,,,,
J,B,1,1,4,Chert,Grey,0.13,5.83,RetFrag,0,,,Both,1,,,,,2,,Yes,,,,2,,Yes,V-D,Press,Dist,2.05,2.04,Dist,,,,,1,Retouched,,,,,6.54,2.05,,38.1282,0.891437309,,,,J,B,1,1,4,Chert,Grey,0.13,5.83,RetFrag,0,,,Both,1,,,,,2,,Yes,,,,2,,Yes,V-D,Press,Dist,2.05,2.04,Dist,,,,,1,Retouched,,,,
J,B,1,1,5,Chert,Grey,0.05,7.07,Flake,0,,Hertz,,,6.05,2-scars,,Yes,3,2,,2-scars,,Yes,3,2,,,,,,,,,1,,,,Feather,,,,,6.56,1.13,1.63,46.3792,1.077743902,,,,J,B,1,1,5,Chert,Grey,0.05,7.07,Flake,0,,Hertz,,,6.05,2-scars,,Yes,3,2,,2-scars,,Yes,3,2,,,,,,,,,1,,,,Feather,,,,
J,B,1,1,6,Chert,Lt Brown,0.58,11.13,Core,,,,,,,,,,11,,,,,,11,,,,,,,,,,,,4,,,,,,,12.69,4.79,,141.2397,0.877068558,,,,J,B,1,1,6,Chert,Lt Brown,0.58,11.13,Core,,,,,,,,,,11,,,,,,11,,,,,,,,,,,,4,,,,,,
J,B,1,1,7,Chert,Dk Brown,0.03,5.72,Flake,0,,Hertz,,,2.91,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,,4.28,1.16,0.69,24.4816,1.336448598,,,,J,B,1,1,7,Chert,Dk Brown,0.03,5.72,Flake,0,,Hertz,,,2.91,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,
J,B,1,1,8,Chert,Cream,0.02,8.37,FFrag,0,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,4.98,1.09,,41.6826,1.680722892,,,,J,B,1,1,8,Chert,Cream,0.02,8.37,FFrag,0,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
J,B,1,1,9,Chert,Grey,0.21,10.7,Flake-b,0,,Hertz,Long,,,Focal,,No,3,,,Focal,,No,3,,,,,,,,Rlat,,,,,,Feather,,,,,5.2,3.91,,55.64,2.057692308,,,,J,B,1,1,9,Chert,Grey,0.21,10.7,Flake-b,0,,Hertz,Long,,,Focal,,No,3,,,Focal,,No,3,,,,,,,,Rlat,,,,,,Feather,,,,
J,B,1,1,10,Chert,Grey,0.25,14.27,Flake,0,,Hertz,,,3.78,Single,,Yes,5,1,,Single,,Yes,5,1,,,,,,,,,,,,,Feather,,,,,6.07,3.13,2.01,86.6189,2.350906096,,,,J,B,1,1,10,Chert,Grey,0.25,14.27,Flake,0,,Hertz,,,3.78,Single,,Yes,5,1,,Single,,Yes,5,1,,,,,,,,,,,,,Feather,,,,
