A,Faceting,Levallois-like flake,End scraper,Side,Scraper Edge,notch,Side and End,Double Side Scraper,Double Side and End Scraper,Denticulated  Retouch,Double End and Side,Notched double side and end,Notched side and end scraper,Notched Double Side,Evidence of dual hemispheres,drill-like retouch,Chopper/Anvil,Microblade,Burin Spall,Burin,Faceted Flake from Ventral,Truncated faceted core,Unfaceted Flake from Ventral,Brumm and Moore Truncated Flake,Semi-Discoidal Core,Flake core with unfaceted ventral removals,Bidirectional core,Faceted Radial Core/Levallois,Possible ground flake (axe flake?),Faceted Point,Cortical Flake,Single Platform Core,Mulitplatform Core,Bipolar core,Bipolar Flake,Microblade core face flake?,redirecting flake,Eclat debordant,Ground ochre,Striated haematite,
46,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,1?,,,1,1,,,,,,,,,,,1,,,,,,
43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
42,1,,,,,2,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,2,,,,
41,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,1,,,,
40,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
39,,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,1,,1,,,,
,3,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,4,1,0,2,0,0,0,0,0,0,1,1,2,0,6,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,,,1,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,3,1,,,classic flake off discoidal core with dihedral platform
37,1,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,,,
36,,,1,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,side and end retouch on ventral without platform
35,1,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,1,,3,,,,Bipolar flake has a ventral on other surface
34,1,,,,,,,1,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,2,,1,,,,
33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
32,1,,,,1,,,,,,,,,,1,,,1,,,1,,2,,,,,,,,,,1,1,1,,,,,,
31,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,
30,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Flake with radial dorsal scar orientation
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
26,1,,1,1,,,2,,1,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Phase II,8,0,3,4,2,0,1,1,2,1,0,0,1,0,1,0,0,1,3,2,2,1,4,3,1,0,0,1,0,0,0,0,3,3,6,0,6,2,0,0,
25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,1,,,1,,,,
23,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,
22,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,1,1,,,,,,,
17,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
16,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,
6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase III,13,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,0,7,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
