"","phase 1","phase 2","phase 3","phase 4","NA"
"Distal",0.36,0.11,0.11,0.56,0
"Lateral",0.22,0.11,0.22,0.57,0
"Notched",0,0,0.21,0.67,0
"Lateral.and.Distal",0.11,0.07,0,0.05,0
"Double.Side.and.End",0.14,0.11,0.05,0.22,0
"Denticulated",0,0,0.06,0.07,0
"Notched.Lateral.and.Distal",0,0.06,0,0,0
"Drill.Like.Retouch...Edge.Damage",0,0,0,0.11,0
"Old.Ventral.Suface.on.Dorsal...Faceted.Platform",0.64,0.11,0.53,0.39,0.07
"Platform.Faceting",1.33,0.16,0.89,1.21,0.22
"Flake.With.Old.Ventral.on.Dorsal",0,0,0.14,0.89,0
"Truncated.Flake",0,0,0.11,0,0
"Flakes.With.Gloss",0,0,0.05,0.17,0
"Possible.Ground.Flake..Axe.Flake..",0.11,0,0,0,0
"Striated.haematite",0,0,0.21,0.11,0
"Microblade",0.22,0.07,0.78,0.11,0
"Levallois.Like.Flake",0.14,0,0.11,0,0
"Burin.Spall",0.22,0.05,0,0.29,0
"Faceted.Point",0.16,0,0,0,0
"Bipolar.Flake",0,0.07,0.22,0.21,0
"Eclat.Debordant",0,0.11,0.21,0,0
"Cortical.Flake",0.22,0,0.06,0.21,0
"Redirecting.Flake",0.05,0.06,0.36,1,0
"Chopper.Anvil",0,0.07,0,0.05,0
"Semi.Discoidal",0.07,0.11,0,0.11,0
"Faceted.Radial...Levallois",0.44,0,0.06,0.21,0
"Truncated.Faceted.Flake",0.21,0,0.07,0.11,0
"Bipolar",0.11,0,0.11,0.21,0
"Bidirectional",0.07,0.11,0.05,0.11,0
"Single.Platform",0.22,0,0.06,0.29,0
"Mulitplatform",0.21,0.06,0.21,0.44,0
